Training Time	Loss	Iteration	Mean Reward (/100ep)	Best Mean Reward	Episodes	Exploration	Learning Rate
56898.7279355526	1.92913854122	2800000	1799.7	2062.5	12519	0.01	5e-05
57105.82637810707	1.92913854122	2810000	1872.1	2062.5	12555	0.01	5e-05
57311.16511583328	2.24105787277	2820000	1915.4	2062.5	12589	0.01	5e-05
57522.583657979965	2.24105787277	2830000	1959.3	2062.5	12624	0.01	5e-05
57729.43925905228	2.24105787277	2840000	1906.5	2062.5	12661	0.01	5e-05
57936.9773709774	2.24105787277	2850000	1903.9	2062.5	12698	0.01	5e-05
58146.882912158966	1.53878557682	2860000	1852.0	2062.5	12736	0.01	5e-05
58353.63736605644	1.53878557682	2870000	1856.7	2062.5	12771	0.01	5e-05
58554.938168525696	1.53878557682	2880000	1829.6	2062.5	12807	0.01	5e-05
58759.98160433769	1.53878557682	2890000	1912.6	2062.5	12842	0.01	5e-05
58968.399414777756	3.29345321655	2900000	1936.1	2062.5	12877	0.01	5e-05
59177.96566224098	3.29345321655	2910000	1970.2	2062.5	12912	0.01	5e-05
59381.96757268906	3.29345321655	2920000	1995.2	2062.5	12949	0.01	5e-05
59586.63877129555	3.29345321655	2930000	1980.0	2062.5	12985	0.01	5e-05
59789.45481657982	2.00612187386	2940000	2005.6	2062.5	13022	0.01	5e-05
59999.03977370262	2.00612187386	2950000	1997.4	2062.5	13059	0.01	5e-05
60207.547308921814	2.00612187386	2960000	1973.7	2062.5	13097	0.01	5e-05
60416.52317786217	2.00612187386	2970000	1963.3	2062.5	13134	0.01	5e-05
60621.016855716705	1.64809989929	2980000	1914.1	2062.5	13170	0.01	5e-05
60828.706037044525	1.64809989929	2990000	1939.2	2062.5	13206	0.01	5e-05
61031.1129257679	1.64809989929	3000000	1951.5	2062.5	13243	0.01	5e-05
61241.0665140152	1.64809989929	3010000	2051.5	2062.5	13278	0.01	5e-05
61449.112933158875	1.55200648308	3020000	2088.9	2088.9	13314	0.01	5e-05
61659.361535549164	1.55200648308	3030000	2056.6	2104.8	13352	0.01	5e-05
61867.62010169029	1.55200648308	3040000	2028.0	2104.8	13386	0.01	5e-05
62077.875719070435	1.55200648308	3050000	2006.6	2104.8	13424	0.01	5e-05
62280.44909667969	1.8141232729	3060000	2017.7	2104.8	13460	0.01	5e-05
62485.84695529938	1.8141232729	3070000	2038.1	2104.8	13496	0.01	5e-05
62695.7820558548	1.8141232729	3080000	2023.6	2104.8	13532	0.01	5e-05
62904.595376729965	1.8141232729	3090000	2100.2	2138.9	13570	0.01	5e-05
63109.708416223526	2.86256861687	3100000	2103.5	2144.3	13606	0.01	5e-05
